Employee Number,Date and Time,Access Granted?
cfi000,2019-03-12 00:45:29,true
aaa000,2019-03-12 00:45:29,true
mro000,2019-03-12 00:45:29,true
man000,2019-03-12 00:45:29,true
cfi001,2019-03-12 00:45:29,false
aaa001,2019-03-12 00:45:29,false
mro001,2019-03-12 00:45:29,false
man001,2019-03-12 00:45:29,false
aaa000,2019-03-12 00:45:29,true
aaa000,2019-03-12 00:45:29,false
tes999,2019-03-12 00:45:29,false
tes999,2019-03-12 00:45:29,true
cfi000,2019-03-12 00:45:29,false
aaa000,2019-03-12 00:45:29,false
mro000,2019-03-12 00:45:29,false
man000,2019-03-12 00:45:29,false
cfi000,2019-03-12 00:45:31,true
aaa000,2019-03-12 00:45:31,true
mro000,2019-03-12 00:45:31,true
man000,2019-03-12 00:45:31,true
cfi000,2019-03-12 00:45:31,true
cfi001,2019-03-12 00:45:31,false
aaa001,2019-03-12 00:45:31,false
mro001,2019-03-12 00:45:31,false
man001,2019-03-12 00:45:31,false
cfi000,2019-03-12 00:45:31,true
aaa000,2019-03-12 00:45:31,true
mro000,2019-03-12 00:45:31,true
man000,2019-03-12 00:45:31,true
cfi000,2019-03-12 00:45:31,true
aaa000,2019-03-12 00:45:31,true
mro000,2019-03-12 00:45:31,true
man000,2019-03-12 00:45:31,true
cfi001,2019-03-12 00:45:31,false
aaa001,2019-03-12 00:45:31,false
mro001,2019-03-12 00:45:31,false
man001,2019-03-12 00:45:31,false
cfi000,2019-03-12 00:45:31,true
aaa000,2019-03-12 00:45:31,true
